Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2/28/2014,2014,Norwalk,632660,775000,?,Detached House,3,3,1031,1.020333,North
2/28/2014,2014,Bridgeport,188070,165000,Two Family,Duplex,4,3,1256,1.020333,West
3/1/2014,2014,Waterbury,116770,145900,Single Family,Detached House,3,1,1045,1.020333,North
3/1/2014,2014,Waterbury,98840,15512,Two Family,Duplex,4,4,1262,1.020333,South
3/1/2014,2014,Waterbury,87850,13115,Single Family,Detached House,3,1,971,1.020333,East
3/1/2014,2014,Waterbury,131880,130000,Single Family,Detached House,3,1,948,1.020333,East
3/2/2014,2014,Bridgeport,117690,177000,Single Family,Detached House,3,2,1017,1.020333,South
3/2/2014,2014,Stamford,433630,65000,Single Family,Detached House,3,2,,1.020333,North
3/2/2014,2014,Bridgeport,228540,168000,Two Family,Duplex,4,2,,1.020333,South
3/2/2014,2014,Waterbury,87720,36000,Single Family,Detached House,3,3,960,1.020333,South
3/3/2014,2014,Bridgeport,157670,51000,?,Duplex,4,3,1372,1.020333,East
3/3/2014,2014,,103990,130000,Single Family,Detached House,3,3,934,1.020333,East
3/3/2014,2014,,275410,172500,Single Family,Detached House,3,2,,1.020333,North
3/4/2014,2014,,138740,4500,Single Family,Detached House,3,3,910,1.020333,South
3/8/2014,2014,Waterbury,128760,50000,?,Detached House,3,1,936,1.020333,South
3/9/2014,2014,Norwalk,407680,597500,Single Family,Detached House,3,3,1078,1.020333,North
3/9/2014,2014,Waterbury,131980,38500,Four Family,Fourplex,8,8,2751,1.020333,North
3/9/2014,2014,Waterbury,109840,135000,?,Detached House,3,1,1010,1.020333,East
3/14/2014,2014,Bridgeport,208570,170000,Single Family,Detached House,3,3,,1.020333,North
3/14/2014,2014,West Hartford,,165100,Single Family,Detached House,3,3,937,1.020333,North
3/15/2014,2014,Stamford,516410,500050,Single Family,Detached House,3,3,1095,1.020333,West
3/17/2014,2014,Bridgeport,104140,31000,Single Family,Detached House,3,2,1061,1.020333,North
3/17/2014,2014,Bridgeport,131580,64900,?,Duplex,4,4,1402,1.020333,East
3/18/2014,2014,Norwalk,1181600,1150000,?,Detached House,3,2,1073,1.020333,West
3/18/2014,2014,Waterbury,,84500,Single Family,Detached House,3,2,1032,1.020333,South
3/18/2014,2014,Waterbury,84130,109900,Single Family,Detached House,3,3,985,1.020333,North
3/18/2014,2014,Stamford,529960,515000,Single Family,Detached House,3,1,1033,1.020333,South
3/21/2014,2014,Stamford,297420,264500,Single Family,Detached House,3,3,1027,1.020333,East
3/21/2014,2014,Stamford,575150,610000,Single Family,Detached House,3,3,954,1.020333,West
3/23/2014,2014,Bridgeport,183090,68990,Two Family,Duplex,4,4,1429,1.020333,West
3/23/2014,2014,Norwalk,246750,339900,Single Family,Detached House,3,3,1090,1.020333,South
3/24/2014,2014,Waterbury,150540,22236,Four Family,Fourplex,8,8,2678,1.020333,South
3/24/2014,2014,Stamford,,290000,Single Family,Detached House,3,3,1056,1.020333,East
3/24/2014,2014,Bridgeport,,195000,?,Duplex,4,3,1365,1.020333,West
3/28/2014,2014,West Hartford,253700,315000,Single Family,Detached House,3,3,,1.020333,South
3/30/2014,2014,Stamford,302490,230000,?,Detached House,3,2,925,1.020333,East
3/30/2014,2014,Waterbury,86490,37000,?,Detached House,3,2,1004,1.020333,South
3/30/2014,2014,Norwalk,340480,572500,Single Family,Detached House,3,1,,1.020333,South
3/30/2014,2014,Bridgeport,151320,100000,?,Detached House,3,2,1052,1.020333,North
3/31/2014,2014,,134350,178000,Two Family,Duplex,4,4,1484,1.020333,South
3/31/2014,2014,Waterbury,143610,144000,Single Family,Detached House,3,3,,1.020333,South
3/31/2014,2014,Waterbury,143560,37500,Three Family,Triplex,6,4,2084,1.020333,East
3/31/2014,2014,West Hartford,278800,475000,?,Detached House,3,2,1018,1.020333,South
3/31/2014,2014,,117710,52000,Single Family,Detached House,3,2,1034,1.020333,East
4/4/2014,2014,Norwalk,242900,102000,?,Detached House,3,3,989,1.020333,South
4/4/2014,2014,West Hartford,210600,285000,Single Family,Detached House,3,3,958,1.020333,South
4/5/2014,2014,,,152300,Single Family,Detached House,3,3,1017,1.020333,North
4/5/2014,2014,,319270,215600,Three Family,Triplex,6,4,2143,1.020333,North
4/5/2014,2014,West Hartford,362000,605000,Single Family,Detached House,3,1,933,1.020333,South
4/8/2014,2014,Waterbury,159310,117500,Two Family,Duplex,4,4,1326,1.020333,South
4/11/2014,2014,Bridgeport,175820,136000,Single Family,Detached House,3,2,915,1.020333,East
4/11/2014,2014,Waterbury,131340,55000,Single Family,Detached House,3,2,1071,1.020333,North
4/12/2014,2014,,,535000,Single Family,Detached House,3,2,937,1.020333,North
4/12/2014,2014,West Hartford,317200,356250,Single Family,Detached House,3,2,914,1.020333,South
4/13/2014,2014,Stamford,1548630,1695000,Single Family,Detached House,3,3,1094,1.020333,South
4/14/2014,2014,Bridgeport,106040,63000,Single Family,Detached House,3,1,999,1.020333,East
4/14/2014,2014,West Hartford,360900,420000,Single Family,Detached House,3,1,,1.020333,South
4/14/2014,2014,Waterbury,180120,106250,Single Family,Detached House,3,1,903,1.020333,South
4/15/2014,2014,Norwalk,723380,725000,?,Detached House,3,3,1033,1.020333,South
4/15/2014,2014,Norwalk,355810,430000,Single Family,Detached House,3,1,1095,1.020333,South
4/18/2014,2014,Waterbury,92670,48000,Single Family,Detached House,3,2,972,1.020333,North
4/18/2014,2014,Waterbury,91480,37500,Two Family,Duplex,4,4,1236,1.020333,South
4/18/2014,2014,Waterbury,153260,78200,?,Triplex,6,4,1990,1.020333,West
4/18/2014,2014,Waterbury,185450,129000,Two Family,Duplex,4,2,1448,1.020333,West
4/19/2014,2014,Waterbury,,2000,Two Family,Duplex,4,4,1474,1.020333,East
4/20/2014,2014,Bridgeport,170250,120000,Two Family,Duplex,4,2,,1.020333,South
4/20/2014,2014,Stamford,222040,380000,Single Family,Detached House,3,2,1006,1.020333,East
4/21/2014,2014,Bridgeport,149570,208000,Two Family,Duplex,4,3,,1.020333,South
4/21/2014,2014,Bridgeport,117960,40000,Single Family,Detached House,3,1,995,1.020333,East
4/25/2014,2014,Bridgeport,,150000,Single Family,Detached House,3,2,967,1.020333,South
4/25/2014,2014,Bridgeport,106960,30000,Single Family,Detached House,3,3,944,1.020333,West
4/25/2014,2014,West Hartford,242300,350000,?,Detached House,3,1,,1.020333,North
4/26/2014,2014,Stamford,,710000,Single Family,Detached House,3,3,912,1.020333,North
4/26/2014,2014,West Hartford,,280000,Single Family,Detached House,3,3,1026,1.020333,North
4/26/2014,2014,,93300,85000,Single Family,Detached House,3,1,1090,1.020333,East
4/28/2014,2014,West Hartford,,280000,Single Family,Detached House,3,3,1051,1.020333,East
4/28/2014,2014,Bridgeport,103310,76000,Single Family,Detached House,3,1,1018,1.020333,East
4/28/2014,2014,Bridgeport,131400,116000,?,Detached House,3,2,1065,1.020333,North
4/28/2014,2014,,156780,130000,Single Family,Detached House,3,1,959,1.020333,South
4/28/2014,2014,Bridgeport,135640,98750,Single Family,Detached House,3,1,1026,1.020333,East
4/29/2014,2014,,,168000,Single Family,Detached House,3,3,968,1.020333,West
4/29/2014,2014,Norwalk,417480,669800,?,Detached House,3,2,,1.020333,West
5/2/2014,2014,Norwalk,,382000,Single Family,Detached House,3,2,944,1.020333,East
5/2/2014,2014,Bridgeport,92680,100000,Single Family,Detached House,3,1,1013,1.020333,East
5/2/2014,2014,,115580,44900,Two Family,Duplex,4,3,1295,1.020333,East
5/2/2014,2014,Norwalk,412790,759000,Single Family,Detached House,3,1,1031,1.020333,East
5/2/2014,2014,Norwalk,,915000,Single Family,Detached House,3,2,1000,1.020333,South
5/3/2014,2014,,137100,30000,Single Family,Detached House,3,2,911,1.020333,West
5/3/2014,2014,Stamford,331590,370000,Single Family,Detached House,3,2,1042,1.020333,South
5/3/2014,2014,Waterbury,150110,175000,Single Family,Detached House,3,2,1072,1.020333,South
5/3/2014,2014,Bridgeport,146490,114750,Single Family,Detached House,3,1,1076,1.020333,East
5/5/2014,2014,Norwalk,858340,1299000,Single Family,Detached House,3,1,992,1.020333,East
5/6/2014,2014,Stamford,404980,517500,Single Family,Detached House,3,2,1009,1.020333,South
5/6/2014,2014,Waterbury,153070,144900,Single Family,Detached House,3,3,1027,1.020333,West
5/10/2014,2014,Bridgeport,171670,100000,Three Family,Triplex,6,4,2196,1.020333,East
5/10/2014,2014,Norwalk,396410,555000,?,Detached House,3,3,958,1.020333,South
5/12/2014,2014,,235830,240000,Single Family,Detached House,3,3,997,1.020333,North
5/13/2014,2014,Norwalk,318220,426500,Single Family,Detached House,3,3,1027,1.020333,South
5/13/2014,2014,Waterbury,141730,37000,Three Family,Triplex,6,4,2091,1.020333,North
5/16/2014,2014,Bridgeport,156230,116000,Single Family,Detached House,3,2,982,1.020333,North
5/16/2014,2014,Waterbury,167220,153000,Three Family,Triplex,6,6,2093,1.020333,South
5/16/2014,2014,Waterbury,132230,130000,Single Family,Detached House,3,2,971,1.020333,East
5/16/2014,2014,West Hartford,,367400,Single Family,Detached House,3,2,,1.020333,West
5/17/2014,2014,Norwalk,252420,277500,?,Detached House,3,2,970,1.020333,South
5/17/2014,2014,Stamford,307090,337500,Single Family,Detached House,3,3,1050,1.020333,North
5/17/2014,2014,,169570,236000,Two Family,Duplex,4,4,,1.020333,East
5/18/2014,2014,West Hartford,261200,85000,Single Family,Detached House,3,2,1056,1.020333,East
5/18/2014,2014,Bridgeport,360500,790000,Single Family,Detached House,3,1,,1.020333,South
5/18/2014,2014,Stamford,455040,615000,Single Family,Detached House,3,2,924,1.020333,North
5/19/2014,2014,Stamford,384910,390000,?,Detached House,3,2,1076,1.020333,North
5/19/2014,2014,Norwalk,1284010,1780000,?,Detached House,3,1,1100,1.020333,East
5/20/2014,2014,Norwalk,223720,312500,?,Detached House,3,3,920,1.020333,West
5/20/2014,2014,Waterbury,132840,140000,Single Family,Detached House,3,1,1038,1.020333,West
5/23/2014,2014,Waterbury,111580,55000,Single Family,Detached House,3,2,990,1.020333,South
5/23/2014,2014,Bridgeport,259700,98000,Four Family,Fourplex,8,7,2419,1.020333,West
5/23/2014,2014,Norwalk,,577500,Single Family,Detached House,3,3,,1.020333,North
5/24/2014,2014,Bridgeport,183000,143000,?,Duplex,4,2,1369,1.020333,East
5/24/2014,2014,Waterbury,211610,159900,Single Family,Detached House,3,2,1004,1.020333,South
5/26/2014,2014,West Hartford,,250000,Single Family,Detached House,3,1,1016,1.020333,West
5/26/2014,2014,West Hartford,192200,291000,Single Family,Detached House,3,2,1024,1.020333,North
5/27/2014,2014,Norwalk,407120,770000,?,Detached House,3,2,936,1.020333,West
5/27/2014,2014,Waterbury,,335000,Single Family,Detached House,3,1,987,1.020333,North
5/27/2014,2014,Waterbury,85850,60000,Single Family,Detached House,3,2,1082,1.020333,East
5/27/2014,2014,Waterbury,150970,135000,Single Family,Detached House,3,1,1011,1.020333,North
5/27/2014,2014,Stamford,366860,555000,Single Family,Detached House,3,2,916,1.020333,North
5/27/2014,2014,Waterbury,94950,107500,?,Detached House,3,3,909,1.020333,South
5/27/2014,2014,Waterbury,189840,226250,?,Fourplex,8,8,2525,1.020333,North
5/31/2014,2014,Bridgeport,192260,235000,Single Family,Detached House,3,1,1033,1.020333,North
5/31/2014,2014,Bridgeport,142230,155000,Single Family,Detached House,3,2,933,1.020333,West
6/1/2014,2014,Waterbury,73670,189900,?,Detached House,3,3,952,1.020333,East
6/1/2014,2014,,,379000,Single Family,Detached House,3,3,,1.020333,East
6/2/2014,2014,Stamford,391050,345000,Single Family,Detached House,3,2,1100,1.020333,East
6/2/2014,2014,,206800,342000,Single Family,Detached House,3,3,,1.020333,East
6/2/2014,2014,Stamford,580340,707500,?,Detached House,3,2,1086,1.020333,West
6/6/2014,2014,,,565000,Single Family,Detached House,3,1,1088,1.020333,West
6/6/2014,2014,West Hartford,260300,390000,Single Family,Detached House,3,2,1009,1.020333,East
6/6/2014,2014,West Hartford,312900,412000,Single Family,Detached House,3,3,1020,1.020333,West
6/6/2014,2014,Bridgeport,138440,120000,Three Family,Triplex,6,5,1903,1.020333,North
6/6/2014,2014,Waterbury,128640,82000,Two Family,Duplex,4,4,1421,1.020333,West
6/7/2014,2014,Waterbury,84370,30000,Single Family,Detached House,3,3,1010,1.020333,South
6/7/2014,2014,Bridgeport,171670,100000,Three Family,Triplex,6,6,2054,1.020333,West
6/8/2014,2014,West Hartford,146200,237000,?,Detached House,3,3,1034,1.020333,West
6/8/2014,2014,Waterbury,,31500,Two Family,Duplex,4,2,1275,1.020333,North
6/9/2014,2014,,238300,302500,?,Detached House,3,2,909,1.020333,West
6/9/2014,2014,Stamford,622530,749000,?,Detached House,3,2,,1.020333,North
6/9/2014,2014,,177700,121000,Single Family,Detached House,3,1,1063,1.020333,East
6/10/2014,2014,Norwalk,271250,379000,?,Detached House,3,2,,1.020333,North
6/10/2014,2014,Waterbury,129640,17000,Four Family,Fourplex,8,8,2492,1.020333,North
6/13/2014,2014,Bridgeport,121240,95000,Two Family,Duplex,4,3,1484,1.020333,West
6/13/2014,2014,Waterbury,94830,90000,Single Family,Detached House,3,2,1030,1.020333,West
6/13/2014,2014,,111470,35000,Three Family,Triplex,6,6,1802,1.020333,North
6/14/2014,2014,West Hartford,177300,172500,Single Family,Detached House,3,1,976,1.020333,North
6/14/2014,2014,,106950,120000,Single Family,Detached House,3,1,949,1.020333,West
6/14/2014,2014,,141830,135000,?,Detached House,3,2,1002,1.020333,South
6/14/2014,2014,Bridgeport,132590,157000,Three Family,Triplex,6,6,2040,1.020333,East
6/14/2014,2014,Waterbury,91040,113998,?,Detached House,3,2,962,1.020333,East
6/15/2014,2014,Stamford,585650,415000,Single Family,Detached House,3,2,913,1.020333,West
6/17/2014,2014,Stamford,975290,1345000,?,Detached House,3,1,941,1.020333,North
6/20/2014,2014,Bridgeport,188610,235000,Single Family,Detached House,3,3,955,1.020333,South
6/20/2014,2014,West Hartford,168000,210000,Single Family,Detached House,3,2,1079,1.020333,South
6/20/2014,2014,Bridgeport,97630,64000,?,Detached House,3,3,1016,1.020333,North
6/20/2014,2014,Stamford,615330,612000,Single Family,Detached House,3,3,930,1.020333,East
6/21/2014,2014,Bridgeport,,36000,Two Family,Duplex,4,3,1310,1.020333,North
6/21/2014,2014,Bridgeport,155630,85000,Single Family,Detached House,3,3,954,1.020333,East
6/21/2014,2014,West Hartford,332800,409000,Single Family,Detached House,3,3,1002,1.020333,East
6/21/2014,2014,Waterbury,104500,39000,Three Family,Triplex,6,6,1882,1.020333,North
6/22/2014,2014,Bridgeport,154100,75000,Single Family,Detached House,3,2,988,1.020333,North
6/22/2014,2014,Waterbury,,4000,?,Triplex,6,6,1981,1.020333,South
6/23/2014,2014,West Hartford,214000,205000,?,Detached House,3,1,,1.020333,East
6/23/2014,2014,Waterbury,150040,160000,Single Family,Detached House,3,3,1029,1.020333,South
6/24/2014,2014,Waterbury,,49000,Single Family,Detached House,3,3,1098,1.020333,East
6/27/2014,2014,Norwalk,403340,700000,?,Detached House,3,2,920,1.020333,West
6/27/2014,2014,West Hartford,440700,635000,Single Family,Detached House,3,3,1040,1.020333,North
6/27/2014,2014,West Hartford,196100,275000,Single Family,Detached House,3,2,929,1.020333,West
6/27/2014,2014,West Hartford,,448000,?,Detached House,3,1,1034,1.020333,West
6/28/2014,2014,,280400,424000,Single Family,Detached House,3,2,916,1.020333,South
6/28/2014,2014,Stamford,738830,687500,?,Detached House,3,2,960,1.020333,West
6/28/2014,2014,,306000,460000,Single Family,Detached House,3,3,943,1.020333,South
6/28/2014,2014,Norwalk,241500,270000,Single Family,Detached House,3,1,1032,1.020333,North
6/29/2014,2014,Bridgeport,255940,125500,Single Family,Detached House,3,3,978,1.020333,West
6/29/2014,2014,Norwalk,731500,900000,Single Family,Detached House,3,3,982,1.020333,East
6/29/2014,2014,Stamford,382870,540000,Single Family,Detached House,3,2,929,1.020333,North
6/29/2014,2014,Stamford,482330,480000,?,Detached House,3,3,961,1.020333,West
6/30/2014,2014,Stamford,747850,927500,Single Family,Detached House,3,2,998,1.020333,East
6/30/2014,2014,Norwalk,458010,545000,Single Family,Detached House,3,1,951,1.020333,East
7/1/2014,2014,Stamford,578940,475000,?,Detached House,3,2,1006,1.020333,South
7/1/2014,2014,,278740,345000,Two Family,Duplex,4,3,1337,1.020333,East
7/1/2014,2014,Norwalk,710710,800000,Single Family,Detached House,3,1,977,1.020333,East
7/1/2014,2014,Waterbury,118560,165000,Single Family,Detached House,3,1,994,1.020333,East
7/5/2014,2014,West Hartford,239200,282500,Single Family,Detached House,3,1,,1.020333,West
7/5/2014,2014,Bridgeport,167800,135000,?,Triplex,6,6,1924,1.020333,East
7/5/2014,2014,Waterbury,,120000,Three Family,Triplex,6,6,,1.020333,West
7/5/2014,2014,West Hartford,141900,231000,?,Detached House,3,1,1034,1.020333,South
7/5/2014,2014,West Hartford,188800,265000,Single Family,Detached House,3,3,1003,1.020333,North
7/5/2014,2014,Stamford,458870,495000,?,Detached House,3,1,1077,1.020333,North
7/6/2014,2014,Waterbury,123730,30000,Four Family,Fourplex,8,7,,1.020333,South
7/7/2014,2014,Bridgeport,135570,155000,Two Family,Duplex,4,2,1354,1.020333,West
7/7/2014,2014,Norwalk,717500,1250000,Single Family,Detached House,3,3,1089,1.020333,East
7/8/2014,2014,Waterbury,102210,99900,Single Family,Detached House,3,1,935,1.020333,North
7/8/2014,2014,Waterbury,129020,135000,Single Family,Detached House,3,2,,1.020333,South
7/12/2014,2014,Norwalk,383180,437500,Single Family,Detached House,3,3,1032,1.020333,West
7/12/2014,2014,Bridgeport,,30000,?,Duplex,4,3,1295,1.020333,West
7/14/2014,2014,,402220,523000,Single Family,Detached House,3,1,1070,1.020333,North
7/14/2014,2014,,242400,451000,Single Family,Detached House,3,3,1090,1.020333,West
7/15/2014,2014,,249620,315000,Single Family,Detached House,3,1,,1.020333,South
7/15/2014,2014,Stamford,1888010,2000000,?,Detached House,3,1,960,1.020333,North
7/18/2014,2014,West Hartford,247200,375000,Single Family,Detached House,3,1,1034,1.020333,West
7/18/2014,2014,,124580,160000,Single Family,Detached House,3,2,1047,1.020333,South
7/18/2014,2014,Bridgeport,,165000,Single Family,Detached House,3,3,980,1.020333,South
7/18/2014,2014,,,325000,Single Family,Detached House,3,3,1071,1.020333,South
7/18/2014,2014,West Hartford,,350000,Single Family,Detached House,3,3,1085,1.020333,North
7/18/2014,2014,West Hartford,167600,211000,Two Family,Duplex,4,3,1332,1.020333,South
7/19/2014,2014,Waterbury,142990,107000,Two Family,Duplex,4,2,1321,1.020333,West
7/19/2014,2014,West Hartford,204000,315000,?,Detached House,3,1,1034,1.020333,North
7/21/2014,2014,Stamford,,420000,Single Family,Detached House,3,3,,1.020333,East
7/21/2014,2014,Stamford,726350,970000,Single Family,Detached House,3,1,1099,1.020333,East
7/21/2014,2014,Norwalk,224770,315000,Single Family,Detached House,3,2,968,1.020333,East
7/22/2014,2014,Waterbury,200000,209000,?,Detached House,3,2,1076,1.020333,North
7/25/2014,2014,Bridgeport,190230,80000,?,Detached House,3,2,978,1.020333,East
7/25/2014,2014,West Hartford,274440,323000,Single Family,Detached House,3,1,1086,1.020333,East
7/26/2014,2014,,326280,307000,Single Family,Detached House,3,3,,1.020333,North
7/26/2014,2014,Bridgeport,146230,155000,Single Family,Detached House,3,1,,1.020333,South
7/26/2014,2014,West Hartford,153600,170000,Single Family,Detached House,3,2,1055,1.020333,East
7/28/2014,2014,Waterbury,131180,19105,Two Family,Duplex,4,4,1438,1.020333,North
7/28/2014,2014,Stamford,354500,150000,Single Family,Detached House,3,1,935,1.020333,South
7/29/2014,2014,Stamford,,875000,?,Detached House,3,1,1085,1.020333,North
7/29/2014,2014,Waterbury,109540,111000,Single Family,Detached House,3,1,,1.020333,West
7/29/2014,2014,Waterbury,100670,136500,Single Family,Detached House,3,3,,1.020333,North
7/29/2014,2014,Waterbury,,135000,Single Family,Detached House,3,3,994,1.020333,North
7/29/2014,2014,Norwalk,289520,400000,Single Family,Detached House,3,1,919,1.020333,South
7/29/2014,2014,Waterbury,303300,152000,Single Family,Detached House,3,1,970,1.020333,North
8/1/2014,2014,Bridgeport,109710,10000,Single Family,Detached House,3,3,921,1.020333,South
8/1/2014,2014,Stamford,328990,442500,Single Family,Detached House,3,3,929,1.020333,East
8/1/2014,2014,West Hartford,194400,265000,Single Family,Detached House,3,3,921,1.020333,East
8/1/2014,2014,,,300000,?,Duplex,4,2,1219,1.020333,South
8/1/2014,2014,West Hartford,299500,515000,Single Family,Detached House,3,3,1025,1.020333,North
8/1/2014,2014,West Hartford,244200,378000,?,Detached House,3,2,928,1.020333,North
8/1/2014,2014,Norwalk,290080,405000,Single Family,Detached House,3,1,977,1.020333,South
8/2/2014,2014,Waterbury,91710,83000,Single Family,Detached House,3,2,988,1.020333,South
8/3/2014,2014,Stamford,631600,605000,Single Family,Detached House,3,1,1068,1.020333,East
8/4/2014,2014,Stamford,,435000,Single Family,Detached House,3,2,1013,1.020333,East
8/4/2014,2014,Bridgeport,149650,280000,Single Family,Detached House,3,1,1015,1.020333,East
8/5/2014,2014,Bridgeport,174970,55000,Three Family,Triplex,6,5,1867,1.020333,North
8/5/2014,2014,Stamford,405090,380000,Single Family,Detached House,3,1,1006,1.020333,North
8/8/2014,2014,West Hartford,130000,92000,Single Family,Detached House,3,3,1019,1.020333,West
